#,Creator Handle,Creator Tier / Size,Brands Collaborated With,Full Name,Verified,Business / Professional,Total Followers,Following,Total Posts,Avg Likes / Post,Avg Comments / Post,Avg Profile ER%,Instagram Profile URL
75,@leada.in,🎯 Micro Creator (10K - 50K),Gully Labs,leada.in,No,No,14000,0,0,5444,64,39.34%,https://www.instagram.com/leada.in/
76,@saffaaah,🎯 Micro Creator (10K - 50K),Gully Labs,saffah👼🏽 | presenter & content creator,No,Yes,11927,4043,132,3,20,0.19%,https://www.instagram.com/saffaaah/
77,@dominasianmagazine,🎯 Micro Creator (10K - 50K),Gully Labs,DominAsian Magazine,No,Yes,10868,1971,470,567,11,5.32%,https://www.instagram.com/dominasianmagazine/
78,@lambo.drive,🎯 Micro Creator (10K - 50K),Gully Labs,Janesh Arya,Yes,Yes,10604,5036,63,1815,90,17.96%,https://www.instagram.com/lambo.drive/
79,@thecometnucleus,🌱 Nano Creator (<10K),Comet,Comet Nucleus,No,Yes,8495,1,33,5534,73,66.00%,https://www.instagram.com/thecometnucleus/
80,@snkrhood.in,🌱 Nano Creator (<10K),Gully Labs,SNKRHOOD,No,Yes,6325,3,211,675,5,10.75%,https://www.instagram.com/snkrhood.in/
81,@ukato.music,🌱 Nano Creator (<10K),Gully Labs,UKato | Utkarsh Singh,No,Yes,5546,1985,81,1590,43,29.44%,https://www.instagram.com/ukato.music/
82,@kommunedelhincr,🌱 Nano Creator (<10K),Gully Labs,kommunedelhincr,No,No,4805,0,0,910,30,19.56%,https://www.instagram.com/kommunedelhincr/
83,@delhiartweekend,🌱 Nano Creator (<10K),Gully Labs,Delhi Art Weekend,Yes,Yes,4419,41,146,103,0,2.33%,https://www.instagram.com/delhiartweekend/
84,@amra.ldn,🌱 Nano Creator (<10K),Gully Labs,AMRA,No,Yes,3966,2,19,509,16,13.24%,https://www.instagram.com/amra.ldn/
85,@gurshaabedi,🌱 Nano Creator (<10K),Gully Labs,Gurshaa,No,Yes,3788,3399,447,2074,108,57.60%,https://www.instagram.com/gurshaabedi/
86,@utkgpt,🌱 Nano Creator (<10K),Comet,Utkarsh Gupta,Yes,No,3051,1262,5,8079,120,268.73%,https://www.instagram.com/utkgpt/
87,@norbu.noises,🌱 Nano Creator (<10K),Gully Labs,Norbu,No,Yes,1980,999,33,448,8,23.03%,https://www.instagram.com/norbu.noises/
88,@yuzenmatcha,🌱 Nano Creator (<10K),Gully Labs,yuzenmatcha,No,No,928,0,0,447,6,48.81%,https://www.instagram.com/yuzenmatcha/
89,@thethirdspacedelhi,🌱 Nano Creator (<10K),Gully Labs,thethirdspacedelhi,No,No,880,0,0,1339,14,153.75%,https://www.instagram.com/thethirdspacedelhi/
90,@ofthewilderness.otw,🌱 Nano Creator (<10K),Gully Labs,Of the Wilderness,No,Yes,857,15,60,50223,273,5892.18%,https://www.instagram.com/ofthewilderness.otw/
91,@quatre.creators,🌱 Nano Creator (<10K),Gully Labs,Quatre,No,Yes,417,4,27,356,63,100.48%,https://www.instagram.com/quatre.creators/
